Filename,Metadata Tags,Description,Permalink
06_Istanbul_29.10.08.jpg,Scannsamlung,06_Istanbul_29.10.08,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Jahresberichte P/Jahresbericht Präsident_ZD 2009/Karten 29.10.08_Ebenen/06_Istanbul_29.10.08.tif
06_Kacheln.jpg,Scannsamlung,06_Kacheln,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Afrika-Sammlung/06_Kacheln.jpg
06_Webstuhl_P07B.jpg,Scannsamlung,06_Webstuhl_P07B,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Original-Vorlagen/Pietrele/06_Webstuhl_P07B.jpg
07 Grabungsfoto vom Fototurm Foto J. Weisshaar 03 cmyk.jpg,Scannsamlung,07 Grabungsfoto vom Fototurm Foto J. Weisshaar 03 cmyk,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Sonderausgabe AW 2016-1 Bilder/Englische Versionen/Heft 1.2016 engl/39-88 DAI Ausgabe 1.2016 engl. Ordner/Links/07 Grabungsfoto vom Fototurm Foto J. Weisshaar 03 cmyk.jpg
07-Hamadab.jpg,Scannsamlung,07-Hamadab,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Sudan-Bilder-Tagesspiegel/Hamadab/07-Hamadab.tif
07-QMPS_20171106_W_069.jpg,Scannsamlung,07-QMPS_20171106_W_069,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Sudan-Bilder-Tagesspiegel/Pyramiden/07-QMPS_20171106_W_069.jpg
07_ArbeitFatimidenfriedhof.jpg,Scannsamlung,07_ArbeitFatimidenfriedhof,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Sonderausgabe AW 2016-1 Bilder/Englische Versionen/Heft 1.2016 engl/01-39 DAI Ausgabe 1.2016 engl. Ordner/Links/07_ArbeitFatimidenfriedhof.jpg
07_Buto_Grabung.jpg,Scannsamlung,07_Buto_Grabung,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Sonderausgabe AW 2016-1 Bilder/Englische Versionen/Heft 1.2016 engl/01-39 DAI Ausgabe 1.2016 engl. Ordner/Links/07_Buto_Grabung.tif
07_Keramikschale.jpg,Scannsamlung,07_Keramikschale,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Original-Vorlagen/Pietrele/07_Keramikschale.jpg
07_Kultselle.jpg,Scannsamlung,07_Kultselle,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Afrika-Sammlung/07_Kultselle.jpg
07_Madrid_29.10.08.jpg,Scannsamlung,07_Madrid_29.10.08,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Jahresberichte P/Jahresbericht Präsident_ZD 2009/Karten 29.10.08_Ebenen/07_Madrid_29.10.08.tif
